Fieldwork date,Polling firm,poll,party
1/8/2018,NHK,38.09375,LDP
1/14/2018,Yomiuri Shimbun,39,LDP
1/14/2018,JNN,33.8125,LDP
1/14/2018,Kyodo News,38.40625,LDP
1/15/2018,Jiji Press,28.09375,LDP
1/21/2018,Mainichi Shimbun,30,LDP
1/21/2018,ANN,42.3125,LDP
1/21/2018,Asahi Shimbun,39,LDP
1/28/2018,NTV,31.5,LDP
1/28/2018,Nikkei,43,LDP
2/4/2018,JNN,32.90625,LDP
2/11/2018,Yomiuri Shimbun,42,LDP
2/11/2018,Kyodo News,41.1875,LDP
2/12/2018,Jiji Press,28.5,LDP
2/12/2018,NHK,38.6875,LDP
2/18/2018,Asahi Shimbun,35,LDP
2/18/2018,NTV,36.6875,LDP
2/25/2018,Mainichi Shimbun,35,LDP
2/25/2018,ANN,44.90625,LDP
2/25/2018,Nikkei,42,LDP
3/4/2018,Kyodo News,39.5,LDP
3/4/2018,JNN,30.296875,LDP
3/11/2018,Yomiuri Shimbun,38,LDP
3/11/2018,NHK,36.3125,LDP
3/12/2018,Jiji Press,25.203125,LDP
3/18/2018,Asahi Shimbun,32,LDP
3/18/2018,Kyodo News,36.1875,LDP
3/18/2018,Mainichi Shimbun,29,LDP
3/18/2018,NTV,33.3125,LDP
3/25/2018,Nikkei & TV Tokyo,40,LDP
3/25/2018,ANN,40.59375,LDP
4/1/2018,Kyodo News,39.09375,LDP
4/1/2018,Yomiuri Shimbun,36,LDP
4/8/2018,NHK,35.40625,LDP
4/8/2018,JNN,31.703125,LDP
4/9/2018,Jiji Press,25.296875,LDP
4/15/2018,NTV,33.40625,LDP
4/15/2018,Asahi Shimbun,33,LDP
4/22/2018,Mainichi Shimbun,29,LDP
4/22/2018,ANN,37.59375,LDP
4/22/2018,Yomiuri Shimbun,37,LDP
4/25/2018,Asahi Shimbun,33,LDP
4/29/2018,Nikkei & TV Tokyo,40,LDP
5/13/2018,Kyodo News,37.09375,LDP
5/13/2018,JNN,30.40625,LDP
5/13/2018,NHK,35.90625,LDP
5/14/2018,Jiji Press,26.796875,LDP
5/20/2018,Yomiuri Shimbun,37,LDP
5/20/2018,NTV,36.6875,LDP
5/20/2018,Asahi Shimbun,36,LDP
5/20/2018,ANN,41.40625,LDP
5/27/2018,Mainichi Shimbun,26,LDP
5/27/2018,Nikkei & TV Tokyo,42,LDP
6/3/2018,JNN,30.796875,LDP
6/10/2018,NHK,35.8125,LDP
6/11/2018,Jiji Press,25.796875,LDP
6/17/2018,ANN,47.6875,LDP
6/17/2018,Asahi Shimbun,34,LDP
6/17/2018,NTV,38.90625,LDP
6/17/2018,Yomiuri Shimbun,38,LDP
6/24/2018,Nikkei & TV Tokyo,44,LDP
6/24/2018,Mainichi Shimbun,30,LDP
7/8/2018,JNN,29.796875,LDP
7/8/2018,NHK,38.09375,LDP
7/9/2018,Jiji Press,25.40625,LDP
7/15/2018,Asahi Shimbun,34,LDP
7/22/2018,Kyodo News,41.59375,LDP
7/22/2018,Yomiuri Shimbun,41,LDP
7/22/2018,Nikkei & TV Tokyo,38,LDP
7/22/2018,ANN,42.09375,LDP
7/29/2018,Mainichi Shimbun,30,LDP
8/5/2018,NHK,35.59375,LDP
8/5/2018,JNN,31.703125,LDP
8/5/2018,Asahi Shimbun,36,LDP
8/6/2018,Jiji Press,27.09375,LDP
8/19/2018,ANN,44,LDP
8/26/2018,Nikkei & TV Tokyo,45,LDP
8/26/2018,Yomiuri Shimbun,40,LDP
8/26/2018,Kyodo News,43.8125,LDP
9/2/2018,JNN,30.5,LDP
9/2/2018,Mainichi Shimbun,33,LDP
9/9/2018,Asahi Shimbun,40,LDP
9/10/2018,Jiji Press,26.90625,LDP
9/16/2018,ANN,46.59375,LDP
9/17/2018,NHK,35.8125,LDP
9/21/2018,Kyodo News,46.1875,LDP
9/23/2018,Nikkei & TV Tokyo,48,LDP
9/23/2018,Yomiuri Shimbun,40,LDP
10/3/2018,Nikkei & TV Tokyo,46,LDP
10/3/2018,Kyodo News,44.8125,LDP
10/3/2018,Yomiuri Shimbun,43,LDP
10/7/2018,Mainichi Shimbun,31,LDP
10/8/2018,NHK,36.3125,LDP
10/8/2018,Jiji Press,27.703125,LDP
10/14/2018,Asahi Shimbun,37,LDP
10/14/2018,JNN,38.40625,LDP
10/21/2018,ANN,43.1875,LDP
10/28/2018,Yomiuri Shimbun,37,LDP
10/28/2018,Nikkei & TV Tokyo,40,LDP
11/4/2018,Kyodo News,45.1875,LDP
11/4/2018,JNN,37.3125,LDP
11/11/2018,NHK,37.40625,LDP
11/12/2018,Jiji Press,26.796875,LDP
11/18/2018,Mainichi Shimbun,29,LDP
11/18/2018,ANN,46.09375,LDP
11/18/2018,Asahi Shimbun,36,LDP
11/25/2018,Yomiuri Shimbun,41,LDP
11/25/2018,Nikkei & TV Tokyo,40,LDP
12/2/2018,JNN,39,LDP
12/9/2018,NHK,34.5,LDP
12/10/2018,Mainichi & SSRC,32,LDP
12/10/2018,Jiji Press,21.296875,LDP
12/16/2018,Yomiuri Shimbun,34,LDP
12/16/2018,Nikkei & TV Tokyo,38,LDP
12/16/2018,Mainichi Shimbun,29,LDP
12/16/2018,Kyodo News,38.59375,LDP
12/16/2018,Asahi Shimbun,35,LDP
12/16/2018,ANN,45.1875,LDP
12/25/2018,Asahi Shimbun,37,LDP
1/13/2019,Kyodo News,36,LDP
1/13/2019,JNN,37.8125,LDP
1/14/2019,Jiji Press,26.703125,LDP
1/14/2019,NHK,35.1875,LDP
1/20/2019,Asahi Shimbun,38,LDP
1/27/2019,Yomiuri Shimbun,38,LDP
1/27/2019,Nikkei & TV Tokyo,43,LDP
1/27/2019,ANN,43.59375,LDP
2/3/2019,JNN,40.59375,LDP
2/3/2019,Mainichi Shimbun,31,LDP
2/3/2019,Kyodo News,40.59375,LDP
2/11/2019,Jiji Press,25.40625,LDP
2/11/2019,NHK,37.09375,LDP
2/17/2019,Nikkei & TV Tokyo,42,LDP
2/17/2019,Asahi Shimbun,37,LDP
2/24/2019,Yomiuri Shimbun,35,LDP
2/24/2019,ANN,44.1875,LDP
3/3/2019,JNN,38.8125,LDP
3/10/2019,NHK,36.6875,LDP
3/10/2019,Kyodo News,38.3125,LDP
3/11/2019,Jiji Press,25.5,LDP
3/17/2019,Mainichi Shimbun,32,LDP
3/17/2019,Asahi Shimbun,35,LDP
3/17/2019,ANN,45.6875,LDP
3/24/2019,Yomiuri Shimbun,38,LDP
3/24/2019,Nikkei & TV Tokyo,43,LDP
4/2/2019,Yomiuri Shimbun,38,LDP
4/2/2019,Kyodo News,43,LDP
4/7/2019,NHK,37.3125,LDP
4/7/2019,JNN,40.1875,LDP
4/8/2019,Jiji Press,26.703125,LDP
4/14/2019,Mainichi Shimbun,30,LDP
4/14/2019,Asahi Shimbun,35,LDP
4/15/2019,Asahi Shimbun,35,LDP
4/21/2019,ANN,43,LDP
4/28/2019,Yomiuri Shimbun,40,LDP
5/2/2019,Kyodo News,40.90625,LDP
5/12/2019,Nikkei & TV Tokyo,42,LDP
5/12/2019,JNN,40.09375,LDP
5/12/2019,NHK,35.1875,LDP
5/13/2019,Jiji Press,26.5,LDP
5/19/2019,ANN,45,LDP
5/19/2019,Mainichi Shimbun,31,LDP
5/19/2019,Yomiuri Shimbun,42,LDP
5/19/2019,Asahi Shimbun,34,LDP
5/19/2019,Kyodo News,40.40625,LDP
6/2/2019,JNN,40,LDP
6/9/2019,NHK,36.6875,LDP
